"Timestamp","What is your age?","Gender","Place of origin","Have you ever taken a tour of Baguio before?","What type of transportation did you use to arrive in Baguio City?","In which month did you have your last visit/outing in Baguio?","How many days did this visit/outing last?","Who accompanied you during these visits? ","How did you travel around the city during your visit?","If you used public transportation, which did you use the most?","Which tourist spot/s have you visited in your last trip/outing to Baguio City?","If you were to recommend to a friend three tourist spots in Baguio City, what would they be?","How important is location when choosing a tourist spot to visit?","How important is accessibility (e.g. ease of getting to the spot) when choosing a tourist spot to visit?","How important is cost (e.g. entrance fees, transportation, etc.) when choosing a tourist spot to visit?","How important is safety when choosing a tourist spot to visit?","How important is cultural significance when choosing a tourist spot to visit?","Have any of the following factors caused you to not visit a tourist spot in Baguio City? (select all that apply)"
"2023/04/07 12:07:35 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","June","1","Friends or colleagues","Walking","","Mines View;Wright Park;The Mansion","Burnham Park;Tam-Awan Village;Botanical Garden","5","5","3","5","4","Location;Accessibility;Lack of interest"
"2023/04/07 12:15:07 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","1","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Tam-Awan Village;Eco park;Diplomat Hotel;Yellow Trail;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Tam-Awan Village;SM Baguio;Baguio Night Market","5","5","5","5","3","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/07 12:23:36 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","No","","","","","","","","","5","5","5","5","5","Accessibility;Lack of interest"
"2023/04/07 12:26:17 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","1","No one","Walking","Jeepney","Burnham Park","Sky Ranch Baguio;SM Baguio;Baguio Night Market","5","5","4","3","4","Location"
"2023/04/07 12:31:26 AM GMT+8","18 to 24 years old","Female","Region III (Central Luzon)","Yes","Private vehicle","April","1","Family and /or relatives","Private Vehicle","Taxi","Botanical Garden;SM Baguio;Strawberry farm","Mirador Hill;Eco Park;Igorot Stone Kingdom","4","4","4","5","5","Cost;Lack of interest"
"2023/04/07 12:31:29 AM GMT+8","18 to 24 years old","Female","Region III (Central Luzon)","Yes","Private vehicle","March","1","Family and /or relatives","Private Vehicle","","Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Mirador Hill;Eco Park;Igorot Stone Kingdom","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/07 12:43:03 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","January","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Tam-Awan Village;Mirador Hill;Eco park;Igorot Stone Kingdom;Diplomat Hotel;Yellow Trail;Bell House;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Mirador Hill;Eco Park;Botanical Garden","5","5","5","5","5","Location"
"2023/04/07 12:48:41 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","No","","","","","","","","","5","5","5","5","5","Accessibility;Lack of interest"
"2023/04/07 12:49:36 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","August","3","Friends or colleagues","Public Transportation","Jeepney","Mirador Hill;Eco park;Igorot Stone Kingdom;Baguio Museum;SM Baguio","BenCab Museum;Igorot Stone Kingdom;Yellow Trail","5","5","5","5","5","Cost"
"2023/04/07 12:50:15 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","No","","","","","","","","","5","5","5","5","5","Accessibility;Lack of interest"
